,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,preview_url
83,Mothership,13,12wlYeErSUNGg1B5d64077,Stairway to Heaven - 2007 Remaster,spotify:track:12wlYeErSUNGg1B5d64077,485013,0.609,0.338,0.332,0.00432,0.142,-12.254,0.0352,81.957,0.204,49,https://p.scdn.co/mp3-preview/e62fbd1d001c8d94791418f3847c8b6b7796217b?cid=ba0aefea59a44616bc6703a7294d312d
84,Mothership,1,6gQOsok1o9YY6vU1W5ZzWX,The Song Remains the Same - 2007 Remaster,spotify:track:6gQOsok1o9YY6vU1W5ZzWX,331360,0.0657,0.256,0.8,0.657,0.244,-8.394,0.0539,143.638,0.684,44,https://p.scdn.co/mp3-preview/b55c2be76e7502b5d17c46839f7d52f21d0bb35c?cid=ba0aefea59a44616bc6703a7294d312d
85,Mothership,2,35XlkvHy9WHPI4Tf9eax4t,Over the Hills and Far Away - 2007 Remaster,spotify:track:35XlkvHy9WHPI4Tf9eax4t,290933,0.0729,0.415,0.688,0.0495,0.0832,-10.504,0.0636,96.968,0.23,51,https://p.scdn.co/mp3-preview/63f2190cf9c31644133f41dc06501da46779a445?cid=ba0aefea59a44616bc6703a7294d312d
86,Mothership,3,5iNr7y6iWNkwVvVeOXSLT5,D'yer Mak'er - 2007 Remaster,spotify:track:5iNr7y6iWNkwVvVeOXSLT5,262760,0.25,0.526,0.918,4.54e-05,0.0778,-8.789,0.0771,164.453,0.578,49,https://p.scdn.co/mp3-preview/eb69df5a32c97682f89608387c8effd69c0d8ab5?cid=ba0aefea59a44616bc6703a7294d312d
87,Mothership,4,55ZL7fjGAWfClmpnsK6Xon,No Quarter - 2007 Remaster,spotify:track:55ZL7fjGAWfClmpnsK6Xon,422680,0.724,0.336,0.339,0.608,0.126,-14.237,0.0397,139.869,0.0768,53,https://p.scdn.co/mp3-preview/d781b2bc6678b058d8517dffe5e155439df07037?cid=ba0aefea59a44616bc6703a7294d312d
88,Mothership,5,6mkBbzyfK0EpywDk17taBg,Trampled Under Foot - 2007 Remaster,spotify:track:6mkBbzyfK0EpywDk17taBg,336666,0.238,0.568,0.837,0.328,0.0754,-7.744,0.059,111.186,0.833,46,https://p.scdn.co/mp3-preview/245cfa3d559078d236cab1ac21e3d48dcffea259?cid=ba0aefea59a44616bc6703a7294d312d
89,Mothership,6,5kxqPQ5Gasw1jXyBDCPDkN,Houses of the Holy - 2007 Remaster,spotify:track:5kxqPQ5Gasw1jXyBDCPDkN,244680,0.15,0.631,0.85,0.0627,0.562,-8.52,0.0347,123.086,0.944,44,https://p.scdn.co/mp3-preview/824121d4e7a7c90775446d4c82647020d18f1710?cid=ba0aefea59a44616bc6703a7294d312d
90,Mothership,7,5v2vkoTamoisazJFanHJjk,Kashmir - 2007 Remaster,spotify:track:5v2vkoTamoisazJFanHJjk,517120,0.448,0.484,0.609,0.0007,0.0415,-8.81,0.0483,80.483,0.61,50,https://p.scdn.co/mp3-preview/349a3d3f28c1480b100746b7472b606fda420dfd?cid=ba0aefea59a44616bc6703a7294d312d
91,Mothership,8,4KF1kzyeyPrgafyVm2UgQg,Nobody's Fault but Mine - 2007 Remaster,spotify:track:4KF1kzyeyPrgafyVm2UgQg,388786,0.0571,0.278,0.767,0.167,0.221,-9.454,0.0736,93.236,0.439,44,https://p.scdn.co/mp3-preview/8f84c93a39d5514cfca2c33b5cd1d10a7b519df8?cid=ba0aefea59a44616bc6703a7294d312d
92,Mothership,9,4wCMKxkE3eMOTtlAx0NFEM,Achilles Last Stand - 2007 Remaster,spotify:track:4wCMKxkE3eMOTtlAx0NFEM,630880,0.0211,0.329,0.867,0.00856,0.134,-8.789,0.0506,145.81,0.315,45,https://p.scdn.co/mp3-preview/b11bfb909aa1494d039ec79e1affd404a4d09eaa?cid=ba0aefea59a44616bc6703a7294d312d
